city_state,mean_score,std_dev,coefficient_of_variation,category_changes,score_range,min_score,max_score,is_zero_score,stability_rating,score_radius_50,category_radius_50,performance_diff_radius_50,network_penetration_radius_50,growth_potential_radius_50,performance_efficiency_radius_50,saturation_risk_radius_50,score_radius_100,category_radius_100,performance_diff_radius_100,network_penetration_radius_100,growth_potential_radius_100,performance_efficiency_radius_100,saturation_risk_radius_100,score_radius_150,category_radius_150,performance_diff_radius_150,network_penetration_radius_150,growth_potential_radius_150,performance_efficiency_radius_150,saturation_risk_radius_150,score_radius_250,category_radius_250,performance_diff_radius_250,network_penetration_radius_250,growth_potential_radius_250,performance_efficiency_radius_250,saturation_risk_radius_250
"palmdale, ca",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.5099388460344961,1.0188973437666433,-0.018897343766643336,0.7222222222222222,0.9996137919196687,1.0,High,-0.5099388460344961,1.0188973437666433,-0.018897343766643336,0.7222222222222222,0.9996137919196687,1.0,High,-0.5099388460344961,1.0188973437666433,-0.018897343766643336,0.7222222222222222,0.9996137919196687,1.0,High,-0.5099388460344961,1.0188973437666433,-0.018897343766643336,0.7222222222222222,0.9996137919196687
"norwich, ct",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.32651521743527373,0.2224471910775719,0.7775528089224282,1.0,0.9998252664686353,1.0,High,-0.32651521743527373,0.2224471910775719,0.7775528089224282,1.0,0.9998252664686353,1.0,High,-0.32651521743527373,0.2224471910775719,0.7775528089224282,1.0,0.9998252664686353,1.0,High,-0.32651521743527373,0.2224471910775719,0.7775528089224282,1.0,0.9998252664686353
"muskegon, mi",0.9838997872344534,0.0046746997504963465,0.004751195000901462,3,0.0126406013043725,0.9789497338144684,0.9915903351188409,False,Excellent,0.9915903351188409,High,0.983616533776384,1.4698126533913682,-0.4698126533913682,1.0,0.999160897839312,0.9824641165672697,Average,0.983616533776384,1.4698126533913682,-0.4698126533913682,1.0,0.999160897839312,0.9825949634372345,Low,0.983616533776384,1.4698126533913682,-0.4698126533913682,1.0,0.999160897839312,0.9789497338144684,Average,0.983616533776384,1.4698126533913682,-0.4698126533913682,1.0,0.999160897839312
"leesburg, fl",0.9071240745258442,0.005116971353791938,0.005640872618739162,0,0.012720064973058776,0.9022485334638193,0.9149685984368781,False,Excellent,0.9149685984368781,Low,1.9910951153886927,4.036619894120189,-3.0366198941201885,0.88,0.9978025841610266,0.9028992639844319,Low,1.9910951153886927,4.036619894120189,-3.0366198941201885,0.88,0.9978025841610266,0.9083799022182477,Low,1.9910951153886927,4.036619894120189,-3.0366198941201885,0.88,0.9978025841610266,0.9022485334638193,Low,1.9910951153886927,4.036619894120189,-3.0366198941201885,0.88,0.9978025841610266
"high point, nc",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.2407055461396558,1.5213556919014108,-0.521355691901411,1.04,0.9994327850255247,1.0,High,-0.2407055461396558,1.5213556919014108,-0.521355691901411,1.04,0.9994327850255247,1.0,High,-0.2407055461396558,1.5213556919014108,-0.521355691901411,1.04,0.9994327850255247,1.0,High,-0.2407055461396558,1.5213556919014108,-0.521355691901411,1.04,0.9994327850255247
"tuscaloosa, al",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.2685458783487323,0.6427685967519751,0.35723140324802494,1.5,0.9997442978418738,1.0,High,-0.2685458783487323,0.6427685967519751,0.35723140324802494,1.5,0.9997442978418738,1.0,High,-0.2685458783487323,0.6427685967519751,0.35723140324802494,1.5,0.9997442978418738,1.0,High,-0.2685458783487323,0.6427685967519751,0.35723140324802494,1.5,0.9997442978418738
"visalia, ca",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.3298854076665244,1.0374016970387128,-0.03740169703871281,1.1666666666666667,0.9996067808458581,1.0,High,-0.3298854076665244,1.0374016970387128,-0.03740169703871281,1.1666666666666667,0.9996067808458581,1.0,High,-0.3298854076665244,1.0374016970387128,-0.03740169703871281,1.1666666666666667,0.9996067808458581,1.0,High,-0.3298854076665244,1.0374016970387128,-0.03740169703871281,1.1666666666666667,0.9996067808458581
"marysville, wa",0.989751617251558,0.011321469478467234,0.011438697629922374,0,0.027300635306529375,0.9726993646934706,1.0,False,Excellent,1.0,High,-0.5390822069184604,1.427815625193965,-0.42781562519396515,0.5,0.9994496422674739,1.0,High,-0.5390822069184604,1.427815625193965,-0.42781562519396515,0.5,0.9994496422674739,0.9863071043127616,High,-0.5390822069184604,1.427815625193965,-0.42781562519396515,0.5,0.9994496422674739,0.9726993646934706,High,-0.5390822069184604,1.427815625193965,-0.42781562519396515,0.5,0.9994496422674739
"merced, ca",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.6725260080344695,1.134058493326653,-0.13405849332665312,0.5,0.9995571465475883,1.0,High,-0.6725260080344695,1.134058493326653,-0.13405849332665312,0.5,0.9995571465475883,1.0,High,-0.6725260080344695,1.134058493326653,-0.13405849332665312,0.5,0.9995571465475883,1.0,High,-0.6725260080344695,1.134058493326653,-0.13405849332665312,0.5,0.9995571465475883
"hayward, ca",0.9688869584967921,0.018048331813996482,0.018627902518161762,0,0.04402230542970664,0.9559776945702934,1.0,False,Excellent,1.0,High,-0.4376788128520581,0.9581443916555729,0.041855608344427184,0.8333333333333334,0.9996368112023567,0.9559776945702934,High,-0.4376788128520581,0.9581443916555729,0.041855608344427184,0.8333333333333334,0.9996368112023567,0.9586427213953156,High,-0.4376788128520581,0.9581443916555729,0.041855608344427184,0.8333333333333334,0.9996368112023567,0.9609274180215597,High,-0.4376788128520581,0.9581443916555729,0.041855608344427184,0.8333333333333334,0.9996368112023567
"lafayette, in",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.4167745196032057,1.5713326972557975,-0.5713326972557974,0.9473684210526315,0.9994063613072549,1.0,High,-0.4167745196032057,1.5713326972557975,-0.5713326972557974,0.9473684210526315,0.9994063613072549,1.0,High,-0.4167745196032057,1.5713326972557975,-0.5713326972557974,0.9473684210526315,0.9994063613072549,1.0,High,-0.4167745196032057,1.5713326972557975,-0.5713326972557974,0.9473684210526315,0.9994063613072549
"springfield, il",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.5344334672756405,0.4958040450462054,0.5041959549537945,0.9,0.9998027496696057,1.0,High,-0.5344334672756405,0.4958040450462054,0.5041959549537945,0.9,0.9998027496696057,1.0,High,-0.5344334672756405,0.4958040450462054,0.5041959549537945,0.9,0.9998027496696057,1.0,High,-0.5344334672756405,0.4958040450462054,0.5041959549537945,0.9,0.9998027496696057
"corona, ca",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.4327187759122209,0.9002638003042146,0.09973619969578539,1.125,0.9996562170989021,1.0,High,-0.4327187759122209,0.9002638003042146,0.09973619969578539,1.125,0.9996562170989021,1.0,High,-0.4327187759122209,0.9002638003042146,0.09973619969578539,1.125,0.9996562170989021,1.0,High,-0.4327187759122209,0.9002638003042146,0.09973619969578539,1.125,0.9996562170989021
"paterson, nj",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.6752809389131968,0.2810356901469012,0.7189643098530987,1.3333333333333333,0.9998792392070042,1.0,High,-0.6752809389131968,0.2810356901469012,0.7189643098530987,1.3333333333333333,0.9998792392070042,1.0,High,-0.6752809389131968,0.2810356901469012,0.7189643098530987,1.3333333333333333,0.9998792392070042,1.0,High,-0.6752809389131968,0.2810356901469012,0.7189643098530987,1.3333333333333333,0.9998792392070042
"alexandria, va",1.0,0.0,0.0,0,0.0,1.0,1.0,False,Excellent,1.0,High,-0.45767131298976915,0.7837341584043224,0.2162658415956776,0.7272727272727273,0.9997060434788418,1.0,High,-0.45767131298976915,0.7837341584043224,0.2162658415956776,0.7272727272727273,0.9997060434788418,1.0,High,-0.45767131298976915,0.7837341584043224,0.2162658415956776,0.7272727272727273,0.9997060434788418,1.0,High,-0.45767131298976915,0.7837341584043224,0.2162658415956776,0.7272727272727273,0.9997060434788418
